NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel;minorAxisSkel;majorAxisSkel;OrientationSkel;PHI1skel;PHI2skel;PHI3skel;PHI4skel
040,pgm;0;1;0;0,07958;8,856346;48;45,623377;59,809524;48;95;-2,376623;-35,190476;146;81;100,999898;116,710828;0,251866;0,165109;174,130347;977,390186;223,093729
010,pgm;0;0;1;0,07958;13,955261;69;46,047771;59,990446;73;88;-26,952229;-28,009554;227;85;104,350541;114,398329;0,492781;0,226637;332,955018;1977,831012;423,748838
110,pgm;0;0;1;0,07958;9,488247;30;48,549801;61,721116;51;93;-2,450199;-31,278884;140;111;96,392677;133,053491;0,492896;0,197129;269,098826;2029,14552;368,646774
420,pgm;0;0;1;0,07958;12,993659;69;48,773946;49,743295;91;39;-42,226054;10,743295;124;135;78,983408;114,418312;-0,490619;0,158203;137,859167;478,244016;156,347839
060,pgm;0;1;0;0,07958;13,234183;29;53,228464;51,385768;47;83;6,228464;-31,614232;116;150;65,806721;131,104373;-0,724449;0,182059;280,145391;2299,057336;304,158035
500,pgm;0;0;1;0,07958;11,334706;53;51,37247;56,129555;86;58;-34,62753;-1,870445;127;117;90,352351;109,47614;-0,394413;0,174109;191,875861;931,095435;231,346394
390,pgm;0;0;1;0,07958;12,081745;82;58,780992;55,161157;75;84;-16,219008;-28,838843;125;117;74,897207;145,490231;-0,483827;0,197751;194,654002;922,659386;304,665953
140,pgm;0;0;1;0,07958;11,702303;75;58,157895;45,466667;75;86;-16,842105;-40,533333;107;176;87,541448;123,322574;0,740959;0,196053;284,272375;1955,250871;332,399216
220,pgm;0;70;2767;1,445424;13,307246;98;60,188925;45,416938;72,071907;53,483962;-11,882982;-8,067024;107;198;90,627799;117,545606;0,753781;0,216813;342,475978;2184,556095;406,104175
470,pgm;0;0;1;0,07958;10,408897;104;55,831081;48,881757;67;89;-11,168919;-40,118243;143;152;88,164761;119,560784;-0,408746;0,203819;242,242002;1148,074481;308,907788
230,pgm;0;0;84;1,09517;12,707495;79;59,941634;53,552529;86,904762;23,845238;-26,963128;29,707291;141;109;88,960394;111,096919;-0,312087;0,198581;287,780743;2000,385349;351,583402
270,pgm;0;0;190;1,047103;9,966589;65;51,992883;49,263345;74,989474;26,689474;-22,996591;22,573872;133;145;87,341483;120,029026;-0,77855;0,182857;243,473444;1485,491766;270,155996
480,pgm;0;0;344;1,101394;13,909427;60;54,257951;58,611307;61,761628;49,075581;-7,503677;9,535726;144;132;84,681516;115,150803;0,406219;0,216668;353,161853;2369,434427;412,921154
200,pgm;0;0;379;1,028868;9,49781;35;51,555046;53,573394;76,664908;48,601583;-25,109862;4,971811;106;109;74,73925;102,699891;-0,757309;0,142493;161,97617;993,105579;156,446853
240,pgm;0;0;379;0,970916;10,313202;71;53,045627;54,665399;69,654354;31,693931;-16,608726;22,971468;139;120;88,140732;120,794466;0,763549;0,189351;268,247044;1954,460288;320,320361
280,pgm;0;0;379;1,028868;12,052593;43;48,217857;62,696429;68,85752;46,3219;-20,639663;16,374529;184;93;80,944235;116,826965;0,501709;0,210513;337,819695;2430,258196;387,029831
130,pgm;0;0;386;0,981553;15,828496;98;57,476868;45,010676;75,637306;83,569948;-18,160437;-38,559272;97;179;97,032364;118,56682;-0,784203;0,190986;248,643148;1643,688883;304,679725
250,pgm;0;0;429;1,308893;9,740727;28;46,729839;57,556452;75,771562;57,013986;-29,041723;0,542466;140;106;92,34371;99,546072;-0,391771;0,164888;180,969704;913,540089;198,524393
030,pgm;0;0;439;0,939731;13,989541;98;57,682594;46,617747;76,3918;15,369021;-18,709206;31,248727;106;186;89,361461;130,906576;-0,313704;0,207169;284,377556;1841,421298;368,649691
120,pgm;0;0;540;1,039843;10,138841;28;50,173077;63,603846;82,440741;55,12963;-32,267664;8,474217;154;104;95,368328;127,04251;0,270781;0,211639;304,254443;2096,945975;412,635768
460,pgm;0;0;569;1,083069;9,814436;124;58,686833;46,985765;63,655536;27,209139;-4,968703;19,776626;124;156;89,222087;99,521041;0,646678;0,190191;263,167089;1539,269728;283,985165
190,pgm;0;0;570;0,961799;10,035686;37;53,562753;55,441296;78,645614;51,47193;-25,082861;3,969366;118;126;83,221137;108,425102;-0,669637;0,175625;237,480818;1565,907315;258,566916
290,pgm;0;0;626;0,896989;9,954633;66;57,007813;52,011719;77,033546;38,308307;-20,025734;13,703412;127;124;81,2307;106,631411;0,457633;0,181201;252,669801;1678,480632;272,011979
050,pgm;0;0;629;0,871582;11,009933;88;61,990991;52,63964;82,472178;25,422893;-20,481187;27,216746;103;119;90,277481;117,536753;0,752453;0,177303;193,225685;997,178928;257,874604
160,pgm;0;0;670;1,005319;12,886311;97;54,692857;49,978571;73,98209;28,883582;-19,289232;21,094989;127;146;94,907051;115,268844;0,69525;0,192712;259,71513;1650,12315;305,199378
100,pgm;0;0;719;1,129059;12,712155;54;63,776824;52,879828;85,329624;48,591099;-21,5528;4,28873;92;138;72,966969;119,63311;0,646906;0,188521;299,167143;2475,012397;345,257864
020,pgm;0;0;742;0,967935;15,694549;80;58,482353;40,039216;81,497305;35,721024;-23,014952;4,318191;66;187;73,84715;119,51843;0,724644;0,159552;201,013345;1257,1872;203,353804
180,pgm;0;0;742;1,518773;11,64636;81;56,254072;52,986971;80,355795;41,207547;-24,101723;11,779424;165;141;91,889695;118,130128;0,510199;0,226322;371,472049;2401,231136;442,680845
310,pgm;0;0;756;1,86202;12,045476;108;57,021459;40,399142;75,230159;42,845238;-18,2087;-2,446096;52;180;70,665947;97,361718;-0,333985;0,134863;125,083468;677,860886;114,845253
300,pgm;0;0;875;1,100475;13,084752;61;55,728033;44,811715;72,832;63,292571;-17,103967;-18,480856;77;159;64,562566;116,664808;0,518252;0,148775;184,108553;1328,42199;176,417562
320,pgm;0;26;951;0,967746;15,162185;0;48,34715;63,725389;66,837257;78,273286;-18,490107;-14,547897;144;46;45,066298;127,215079;0,778095;0,14546;195,843334;1805,682771;207,453415
170,pgm;0;0;961;0,983858;13,790466;118;58,125;49,487179;79,931322;27,363163;-21,806322;22,124016;120;185;105,188817;114,460311;-0,378578;0,228941;338,852626;1913,139684;437,841454
370,pgm;0;0;1017;1,034851;15,090566;79;54,522901;52,625954;71,255654;58,858407;-16,732753;-6,232453;112;148;70,517153;116,775835;-0,382051;0,180919;199,928579;1003,817818;230,999899
260,pgm;0;0;1150;1,515753;13,462104;108;57,206349;49,536508;77,527826;62,392174;-20,321477;-12,855666;109;202;76,896506;104,270296;0,302135;0,213429;350,283042;2416,962745;363,805611
410,pgm;0;198;1172;1,106218;13,385219;65;51,349398;54,008032;64,558394;57,787591;-13,208997;-3,779559;115;131;63,25392;112,453504;-0,367204;0,164192;166,742225;759,361867;180,106475
400,pgm;0;62;1377;1,146746;15,764651;85;51,786957;45,191304;69,448923;36,980542;-17,661966;8,210762;91;137;46,425506;128,042197;-0,57146;0,135321;84,6496;237,83328;98,279205
350,pgm;0;0;1517;1,149055;14,334269;96;57,218855;47,845118;77,066579;67,098879;-19,847724;-19,253762;112;184;85,597886;130,492204;0,648798;0,210435;335,475585;2795,216104;410,83133
210,pgm;0;0;1551;1,020069;13,686182;79;50,838816;47,963816;73,399742;62,918762;-22,560926;-14,954946;129;172;87,18921;128,386033;0,422029;0,194269;262,720308;1797,360139;309,050834
450,pgm;0;8;1617;1,191787;12,667783;93;58,164751;45,781609;72,172923;58,594462;-14,008172;-12,812852;88;169;71,868778;109,701211;0,591654;0,171061;237,44507;1774,650767;242,497797
490,pgm;0;325;1753;1,146172;13,01044;83;58,015094;48,237736;61,826275;64,756978;-3,811181;-16,519242;93;170;68,486026;120,988202;-0,406164;0,182867;259,524286;1837,250774;286,692237
070,pgm;0;2381;1760;1,764343;9,340318;114;47,805281;49,980198;44,757305;51,464381;3,047976;-1,484183;153;148;86,274974;106,083858;0,514085;0,180344;193,170542;788,026152;210,180964
150,pgm;0;59;1878;1,038646;14,194964;90;53,415584;48,480519;70,091895;64,234383;-16,67631;-15,753864;133;173;80,120142;124,603761;0,493878;0,202515;309,61914;2174,999446;347,451303
080,pgm;0;39;1880;1,0092;15,42879;84;57,821678;45,045455;70,472642;65,068786;-12,650964;-20,023331;98;185;82,911242;128,209327;0,738532;0,195322;290,925976;2040,854656;337,21915
440,pgm;0;0;2019;1,047229;15,016551;107;51,600694;45,552083;76,403665;44,846954;-24,802971;0,705129;89;187;85,284945;134,203184;-0,221063;0,181955;173,425212;897,196732;232,910901
430,pgm;0;0;2048;1,045107;12,892993;89;59,950192;56,241379;75,454102;60,264648;-15,50391;-4,023269;119;139;84,889712;109,666992;-0,105113;0,207735;307,603288;2254,51147;381,693614
380,pgm;0;10;2103;1,166618;16,836574;104;54,940075;45,550562;75,750118;41,271178;-20,810043;4,279383;96;162;72,047079;138,5195;-0,408949;0,176672;152,881913;698,225323;208,698265
360,pgm;0;1834;2281;1,307314;9,37769;75;51,538206;51,744186;54,323451;58,479465;-2,785245;-6,735279;158;142;95,839657;122,007306;0,442243;0,205826;285,440241;1676,868803;358,149813
090,pgm;0;0;1;0,07958;9,354776;107;61,136;48,172;82;71;-20,864;-22,828;114;136;99,884315;111,004803;-0,53375;0,186296;221,315565;1152,574187;284,074571
330,pgm;0;0;1;0,07958;13,526946;113;61,121107;51,228374;93;51;-31,878893;0,228374;113;176;84,965787;121,866717;-0,622016;0,223673;295,337893;1536,655589;396,222908
340,pgm;0;0;1;0,07958;15,126661;140;60,070313;45,792969;94;40;-33,929688;5,792969;88;167;68,573458;130,390197;-0,601463;0,180785;170,959095;755,015084;220,844964
510,pgm;0;0;1;0,07958;15,126661;140;60,070313;45,792969;94;40;-33,929688;5,792969;88;167;68,573458;130,390197;-0,601463;0,180785;170,959095;755,015084;220,844964
001,pgm;1;3179;3492;1,124317;4,453438;78;47,017964;51,323353;51,81547;50,444611;-4,797506;0,878742;184;148;117,517961;137,420441;-0,316421;0,230066;240,352936;1025,665091;420,176031
011,pgm;1;2429;2553;1,071516;1,681208;67;50,084942;47,177606;50,450422;46,675432;-0,365479;0,502175;124;133;109,559331;112,995958;-0,410451;0,162715;148,269202;661,975997;192,952426
