NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel;minorAxisSkel;majorAxisSkel;OrientationSkel;PHI1skel;PHI2skel;PHI3skel;PHI4skel
388,pgm;8;1346;0;1,402166;13,380735;0;29,794355;59,665323;20,049034;42,89153;9,745321;16,773792;201;45;74,87701;115,135811;-0,578992;0,139539;148,528744;905,518556;149,566289
389,pgm;9;0;1;0,07958;11,095203;79;56,502283;37,598174;90;45;-33,497717;-7,401826;54;163;92,886971;102,769604;-0,220949;0,12714;102,068486;406,652023;106,112781
390,pgm;0;0;1;0,07958;12,081745;82;58,780992;55,161157;75;84;-16,219008;-28,838843;125;117;74,897207;145,490231;-0,483827;0,197751;194,654002;922,659386;304,665953
391,pgm;1;2973;3088;0,908176;2,256742;60;49,726236;52,361217;50,422208;51,262993;-0,695972;1,098224;137;125;117,832242;127,903846;-0,36461;0,186852;196,089369;1110,822691;298,279302
392,pgm;2;336;1974;1,419656;14,261904;45;45,512121;62,609091;66,942857;69,82987;-21,430736;-7,220779;215;113;93,11291;126,879181;0,416145;0,248796;423,275001;2723,240284;549,38165
393,pgm;3;0;1;0,07958;13,835251;49;49,146597;45,172775;54;29;-4,853403;16,172775;70;120;55,416336;127,240379;0,500827;0,108102;98,47241;788,529535;95,950568
394,pgm;4;245;0;1,591596;7,209684;64;54,387833;59,098859;28,632653;87,208163;25,75518;-28,109304;120;142;96,994154;130,258141;0,062364;0,213008;287,60795;1791,405604;408,788126
395,pgm;5;1775;1480;1,985828;12,955072;58;46,181518;50,646865;47,254992;49,179416;-1,073474;1,467448;155;143;79,085625;110,322409;0,093657;0,177238;206,90527;1000,575887;214,317799
396,pgm;6;2191;2628;1,57675;8,57041;70;50,653125;50,959375;51,162482;47,943142;-0,509357;3,016233;170;148;97,506778;122,136303;0,505372;0,214053;304,262908;2076,146417;380,963912
397,pgm;7;0;1;0,07958;8,644273;55;59,17561;57,795122;72;89;-12,82439;-31,204878;117;88;93,656474;98,16493;0,546467;0,163847;193,952317;1352,621178;233,747051
398,pgm;8;2314;0;1,164328;11,334259;0;33,762712;59,241525;24,748487;51,619274;9,014224;7,622251;181;52;71,924196;113,932144;-0,623059;0,136504;146,444538;940,520322;142,349856
399,pgm;9;0;1;0,07958;11,353061;97;56,047619;33,074074;90;21;-33,952381;12,074074;43;144;80,004428;101,076184;-0,204688;0,099675;63,590675;214,782003;59,007984
400,pgm;0;62;1377;1,146746;15,764651;85;51,786957;45,191304;69,448923;36,980542;-17,661966;8,210762;91;137;46,425506;128,042197;-0,57146;0,135321;84,6496;237,83328;98,279205
401,pgm;1;3188;3883;0,966178;2,999515;76;51,602564;51,958333;53,523547;50,704568;-1,920983;1,253765;164;147;130,604176;133,583909;0,099069;0,235369;280,92568;1602,521073;497,43105
402,pgm;2;0;1326;1,093772;12,442149;103;59,195572;53,394834;75,267722;34,402715;-16,072151;18,992119;112;158;90,488308;121,826413;-0,707341;0,211231;260,358612;1316,440292;351,660374
403,pgm;3;0;505;1,138543;15,967987;111;61,115538;41,38247;81,6;23,762376;-20,484462;17,620094;83;165;80,67608;128,141058;0,261742;0,172705;222,792729;1610,17226;255,995412
404,pgm;4;0;1;0,07958;7,522581;77;51,094737;52,898246;80;76;-28,905263;-23,101754;140;144;105,930957;141,050073;0,667009;0,20958;194,130723;662,052054;332,47149
405,pgm;5;2462;2135;2,060472;13,626968;92;48,631884;49,782609;47,761149;50,348053;0,870735;-0,565444;169;174;90,494209;121,10511;-0,061116;0,216379;274,389368;1309,230492;336,007884
406,pgm;6;1398;3024;1,652226;12,117715;80;56,422442;48,148515;59,545228;48,890547;-3,122786;-0,742032;138;163;86,036134;119,13412;-0,730113;0,207599;320,894782;2238,025477;376,970962
407,pgm;7;0;1;0,07958;10,148092;79;58,735099;51,112583;79;80;-20,264901;-28,887417;154;148;98,360964;114,33647;0,049569;0,226018;330,070626;1874,372885;424,95634
408,pgm;8;2093;0;1,177766;12,403169;0;34,121951;57,825203;23,226469;47,157191;10,895482;10,668013;177;66;77,936801;114,065121;-0,57304;0,140241;147,701423;882,308905;146,967292
