NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche
388,pgm;8;1346;0;1,402166;13,380735;0
389,pgm;9;0;1;0,07958;11,095203;79
390,pgm;0;0;1;0,07958;12,081745;82
391,pgm;1;2973;3088;0,908176;2,256742;60
392,pgm;2;336;1974;1,419656;14,261904;45
393,pgm;3;0;1;0,07958;13,835251;49
394,pgm;4;245;0;1,591596;7,209684;64
395,pgm;5;1775;1480;1,985828;12,955072;58
396,pgm;6;2191;2628;1,57675;8,57041;70
397,pgm;7;0;1;0,07958;8,644273;55
398,pgm;8;2314;0;1,164328;11,334259;0
399,pgm;9;0;1;0,07958;11,353061;97
400,pgm;0;62;1377;1,146746;15,764651;85
401,pgm;1;3188;3883;0,966178;2,999515;76
402,pgm;2;0;1326;1,093772;12,442149;103
403,pgm;3;0;505;1,138543;15,967987;111
404,pgm;4;0;1;0,07958;7,522581;77
405,pgm;5;2462;2135;2,060472;13,626968;92
406,pgm;6;1398;3024;1,652226;12,117715;80
407,pgm;7;0;1;0,07958;10,148092;79
408,pgm;8;2093;0;1,177766;12,403169;0
409,pgm;9;0;917;0,993576;13,852417;107
410,pgm;0;198;1172;1,106218;13,385219;65
411,pgm;1;3259;3429;1,05667;2,848659;82
412,pgm;2;0;1733;1,074947;13,125302;86
413,pgm;3;0;1016;1,762348;12,833009;98
414,pgm;4;290;16;1,065225;5,965094;81
415,pgm;5;1659;3353;1,900834;11,23697;87
416,pgm;6;2210;3305;1,386695;10,164094;71
417,pgm;7;0;1;0,07958;12,713278;61
418,pgm;8;1576;0;1,528781;12,114798;0
419,pgm;9;258;1667;1,194731;11,298379;110
420,pgm;0;0;1;0,07958;12,993659;69
421,pgm;1;3361;3516;1,133686;2,448863;82
422,pgm;2;0;1735;0,977708;15,087381;40
423,pgm;3;0;615;1,071545;14,870192;100
424,pgm;4;135;961;1,098506;11,626788;85
425,pgm;5;2202;3273;2,076837;13,776673;89
426,pgm;6;2405;3672;1,391711;10,894204;72
427,pgm;7;0;1;0,07958;7,641064;80
428,pgm;8;2723;0;1,21623;12,105623;0
429,pgm;9;0;1;0,07958;15,26897;127
430,pgm;0;0;2048;1,045107;12,892993;89
431,pgm;1;2538;3045;1,085809;3,236519;65
432,pgm;2;0;374;1,396051;11,316284;26
433,pgm;3;0;262;1,167576;13,695499;65
434,pgm;4;578;208;1,137607;12,947133;66
435,pgm;5;2992;3204;1,903763;13,199943;80
436,pgm;6;2184;3016;1,738039;14,638601;77
437,pgm;7;0;1;0,07958;10,36576;65
438,pgm;8;2328;0;1,340141;12,949123;0
439,pgm;9;475;2446;1,133788;9,37061;83
440,pgm;0;0;2019;1,047229;15,016551;107
441,pgm;1;2127;3007;1,294621;2,939871;77
442,pgm;2;123;2294;1,201138;13,283697;68
443,pgm;3;0;688;1,374256;12,256499;95
444,pgm;4;369;0;1,149271;7,85576;56
445,pgm;5;879;1949;1,829801;11,014874;68
446,pgm;6;1831;2351;1,105231;8,186965;49
447,pgm;7;0;1;0,07958;9,993013;68
448,pgm;8;1191;0;1,404841;10,317877;14
449,pgm;9;0;1;0,07958;13,617236;100
450,pgm;0;8;1617;1,191787;12,667783;93
451,pgm;1;2874;2827;1,157809;4,445986;79
452,pgm;2;0;1038;1,502663;11,02532;90
453,pgm;3;0;522;1,127533;14,187498;89
454,pgm;4;598;0;1,030545;7,020042;69
