NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche
151.pgm;1;3633;3457;1.064776;1.528984;74
101.pgm;1;3615;3507;1.019095;3.702527;67
081.pgm;1;3536;3147;1.001446;2.839047;77
111.pgm;1;3487;3413;0.904211;4.166544;63
321.pgm;1;3466;3382;0.872450;1.666096;64
171.pgm;1;3454;3451;0.871575;2.635908;68
071.pgm;1;3397;3271;1.124823;4.367657;82
141.pgm;1;3359;3153;1.085228;4.841544;74
201.pgm;1;3355;3247;1.006753;3.549353;76
021.pgm;1;3300;3635;1.046575;3.875923;81
078.pgm;8;3239;273;1.106708;9.047008;40
028.pgm;8;3201;0;1.247422;13.240569;0
001.pgm;1;3179;3492;1.124317;4.453438;78
361.pgm;1;3178;3210;0.848631;1.993284;65
131.pgm;1;3157;3149;1.128214;3.226378;82
031.pgm;1;3115;3582;1.098171;4.090683;83
121.pgm;1;3098;3306;1.155983;2.736671;82
061.pgm;1;3097;3135;0.958687;1.418922;67
161.pgm;1;3077;3561;0.939900;1.820660;71
051.pgm;1;3068;3207;1.015692;1.260656;71
115.pgm;5;3051;2258;1.975165;13.950341;61
128.pgm;8;3046;318;1.208270;8.249453;26
271.pgm;1;3029;2871;1.424681;5.264187;83
311.pgm;1;2973;3219;1.095816;1.176949;76
148.pgm;8;2955;587;1.107287;7.375715;40
381.pgm;1;2942;3050;1.171505;4.230689;73
371.pgm;1;2886;2942;1.132579;3.908631;78
375.pgm;5;2885;3243;1.904942;14.265061;81
348.pgm;8;2883;722;1.097760;8.992079;44
041.pgm;1;2840;2780;1.032272;2.766910;75
088.pgm;8;2834;141;1.354194;11.648521;41
106.pgm;6;2824;3312;1.136321;6.477809;75
351.pgm;1;2805;2777;0.919773;2.065540;61
261.pgm;1;2797;3226;0.956081;2.877738;71
211.pgm;1;2791;3190;1.134475;2.496077;76
265.pgm;5;2774;1892;2.234989;12.964050;65
155.pgm;5;2750;2125;2.283345;14.586498;99
376.pgm;6;2734;3515;1.480816;13.068805;77
118.pgm;8;2665;0;1.194444;12.407643;0
331.pgm;1;2660;2898;1.098611;3.490957;70
105.pgm;5;2653;2134;2.001698;14.910182;72
231.pgm;1;2649;3485;1.129024;3.020980;76
181.pgm;1;2644;2707;1.259372;2.135426;74
045.pgm;5;2637;2271;1.952348;13.259983;86
241.pgm;1;2637;2870;0.976865;1.719537;68
166.pgm;6;2630;2355;1.324106;10.591725;68
378.pgm;8;2600;19;1.108496;11.669702;19
275.pgm;5;2582;2721;1.644134;12.134053;58
208.pgm;8;2570;2;1.036178;9.587561;11
108.pgm;8;2566;0;1.252963;13.432201;0
225.pgm;5;2556;2079;1.903889;13.220013;63
278.pgm;8;2551;0;1.174075;11.562032;0
291.pgm;1;2533;2362;1.124506;4.693454;66
191.pgm;1;2520;2684;1.090155;2.888716;71
328.pgm;8;2508;0;1.346511;12.788904;0
281.pgm;1;2492;2790;1.293421;6.204800;77
251.pgm;1;2491;2630;0.822061;3.791473;65
205.pgm;5;2490;2550;1.967532;14.296811;74
358.pgm;8;2488;0;1.166861;12.640432;0
316.pgm;6;2469;2522;1.552117;8.296493;72
385.pgm;5;2463;2069;2.077925;12.602371;113
238.pgm;8;2457;0;1.511142;12.491286;0
165.pgm;5;2437;2666;1.729282;14.624882;88
011.pgm;1;2429;2553;1.071516;1.681208;67
386.pgm;6;2407;2960;1.693966;12.923679;83
326.pgm;6;2404;3033;1.536504;12.234360;68
325.pgm;5;2399;2818;2.237586;13.812415;102
026.pgm;6;2397;3868;1.425514;10.435932;79
338.pgm;8;2393;0;1.356947;12.569641;0
235.pgm;5;2391;2122;2.640946;14.307751;79
236.pgm;6;2386;1403;2.245814;10.275520;106
098.pgm;8;2385;13;1.367558;10.228715;3
070.pgm;0;2381;1760;1.764343;9.340318;114
355.pgm;5;2379;2395;2.018734;14.621312;87
015.pgm;5;2370;3466;2.052821;12.976402;95
025.pgm;5;2370;3269;1.900785;15.067444;96
091.pgm;1;2362;2620;0.927755;2.755061;65
168.pgm;8;2329;0;1.272765;14.731570;0
335.pgm;5;2328;2077;2.446542;13.011199;68
156.pgm;6;2316;2970;1.560945;12.663797;90
341.pgm;1;2315;2907;1.102734;3.457051;73
356.pgm;6;2307;3547;1.489382;9.808439;75
038.pgm;8;2283;0;1.167345;11.907751;0
058.pgm;8;2279;0;1.208049;12.822764;0
185.pgm;5;2279;2270;1.802590;13.510462;76
085.pgm;5;2258;1724;2.434179;14.963334;84
176.pgm;6;2208;2521;1.254177;8.867769;76
095.pgm;5;2177;2800;2.118547;13.787051;93
126.pgm;6;2169;3192;1.205721;8.243222;70
116.pgm;6;2160;3008;1.717803;12.077457;81
368.pgm;8;2151;0;1.279936;10.881645;0
298.pgm;8;2118;0;1.258285;9.043998;13
228.pgm;8;2110;0;1.064484;11.201393;0
221.pgm;1;2108;2687;1.130565;2.863574;71
146.pgm;6;2104;3187;1.657835;9.375294;78
248.pgm;8;2099;473;1.070429;8.006565;37
096.pgm;6;2072;2694;1.563478;12.318075;65
035.pgm;5;2057;1626;2.254272;15.133535;0
076.pgm;6;2057;3390;2.109661;12.948915;81
018.pgm;8;2049;0;1.286482;14.058313;0
075.pgm;5;2021;1830;2.291490;12.399292;89
285.pgm;5;2020;1837;2.644353;13.953115;78
145.pgm;5;2009;2021;2.460636;13.368737;118
055.pgm;5;2004;1955;2.110122;15.394935;73
016.pgm;6;1988;2526;2.086211;12.112371;84
226.pgm;6;1984;2498;1.218803;6.318954;67
256.pgm;6;1979;2781;1.504660;9.991596;71
036.pgm;6;1953;2640;1.348699;8.598534;70
008.pgm;8;1951;0;1.472492;15.496875;0
255.pgm;5;1947;2031;1.984994;12.672094;61
268.pgm;8;1934;0;1.289119;12.639504;0
086.pgm;6;1925;3415;1.702531;11.400045;80
218.pgm;8;1890;0;1.488185;12.014592;0
135.pgm;5;1875;2531;1.861095;13.460944;62
136.pgm;6;1875;3112;1.407591;8.882617;73
188.pgm;8;1870;0;1.062369;10.880190;0
065.pgm;5;1869;2213;2.187860;12.993889;86
360.pgm;0;1834;2281;1.307314;9.377690;75
365.pgm;5;1827;1404;2.143434;15.541357;78
286.pgm;6;1794;2466;2.275329;10.417872;76
158.pgm;8;1788;0;1.347516;14.462279;0
276.pgm;6;1783;2869;1.498810;10.528386;66
305.pgm;5;1769;2605;2.178093;13.321364;80
186.pgm;6;1734;2382;1.967474;8.304150;70
336.pgm;6;1685;2514;1.402151;12.845178;77
308.pgm;8;1680;0;1.009716;13.855086;0
215.pgm;5;1678;2731;1.906468;13.188009;78
301.pgm;1;1670;1746;0.988598;3.485476;43
366.pgm;6;1667;3440;1.497478;9.001304;80
068.pgm;8;1662;0;1.120869;9.654612;0
266.pgm;6;1661;2694;1.942003;9.487308;82
175.pgm;5;1656;2733;2.158120;14.252981;74
307.pgm;7;1655;2970;1.235836;7.295025;69
195.pgm;5;1650;1241;2.477407;12.295305;70
245.pgm;5;1634;1576;2.459909;13.338267;34
206.pgm;6;1588;3151;1.698128;10.476783;78
056.pgm;6;1575;1753;1.470696;13.010269;106
178.pgm;8;1572;0;1.378219;13.244519;0
346.pgm;6;1567;3098;1.681940;9.990569;86
288.pgm;8;1510;0;1.400236;13.442871;0
296.pgm;6;1499;2334;1.360643;8.821416;76
066.pgm;6;1495;2557;1.720747;11.574317;78
006.pgm;6;1477;1812;1.548746;12.447514;124
125.pgm;5;1436;3297;2.544284;12.933053;88
138.pgm;8;1414;0;1.458832;13.388531;0
216.pgm;6;1403;3273;2.132726;12.841635;89
048.pgm;8;1377;0;1.265880;14.504908;0
246.pgm;6;1331;2965;1.633998;10.020640;72
064.pgm;4;1260;0;1.018685;9.818213;57
014.pgm;4;1255;7;1.166330;12.287556;80
094.pgm;4;1250;0;0.978895;10.841584;72
306.pgm;6;1249;2977;1.661064;9.350095;76
295.pgm;5;1218;1945;2.029273;12.422590;84
324.pgm;4;1201;247;1.253107;11.588752;74
258.pgm;8;1192;0;1.687800;11.601934;0
198.pgm;8;1117;0;1.222622;10.935405;0
315.pgm;5;1116;2435;2.153653;12.512804;71
318.pgm;8;1103;0;1.257116;11.802830;0
257.pgm;7;1067;2495;1.418764;8.389693;75
196.pgm;6;1058;2679;1.257455;6.152546;74
133.pgm;3;1045;475;3.142618;12.567048;111
224.pgm;4;1018;0;1.144527;10.893535;64
046.pgm;6;974;2248;1.787236;10.347103;73
005.pgm;5;920;2264;2.559351;15.009114;72
163.pgm;3;773;52;3.445661;13.145276;86
354.pgm;4;758;0;1.412699;10.962050;75
213.pgm;3;700;360;1.099177;14.424727;51
013.pgm;3;677;423;4.132435;13.984409;131
164.pgm;4;677;0;0.809786;9.678227;66
214.pgm;4;642;38;1.056188;12.247828;70
184.pgm;4;596;229;1.003574;12.127031;62
244.pgm;4;591;0;1.066585;9.040867;64
284.pgm;4;587;0;1.328725;8.372972;72
264.pgm;4;562;0;0.975490;9.657410;66
