Note : Chiffres initiaux en haut et verdict à gauche pour les deux matrices 

Matrice confusion avec le nombre de comptages :

 
 ; ;0;1;2;3;4;5;6;7;8;9
 ; ;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------
0;   ----------;34;0;0;1;0;0;0;1;0;0
1;   ----------;0;39;0;0;0;0;0;0;0;0
2;   ----------;2;0;39;0;0;1;0;1;0;0
3;   ----------;0;0;0;38;0;0;0;0;0;0
4;   ----------;0;0;0;0;38;0;0;3;0;0
5;   ----------;0;0;0;0;0;38;0;0;0;0
6;   ----------;0;0;0;0;0;0;39;1;0;0
7;   ----------;1;0;0;0;1;0;0;33;0;0
8;   ----------;0;0;0;0;0;0;0;0;38;0
9;   ----------;1;0;0;0;0;0;0;0;0;38

Matrice confusion en pourcentage :

 ; ;0;1;2;3;4;5;6;7;8;9
 ; ;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------;   ----------
0;   ----------;89.5;0.0;0.0;2.6;0.0;0.0;0.0;2.6;0.0;0.0
1;   ----------;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;   ----------;5.3;0.0;100.0;0.0;0.0;2.6;0.0;2.6;0.0;0.0
3;   ----------;0.0;0.0;0.0;97.4;0.0;0.0;0.0;0.0;0.0;0.0
4;   ----------;0.0;0.0;0.0;0.0;97.4;0.0;0.0;7.7;0.0;0.0
5;   ----------;0.0;0.0;0.0;0.0;0.0;97.4;0.0;0.0;0.0;0.0
6;   ----------;0.0;0.0;0.0;0.0;0.0;0.0;100.0;2.6;0.0;0.0
7;   ----------;2.6;0.0;0.0;0.0;2.6;0.0;0.0;84.6;0.0;0.0
8;   ----------;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
9;   ----------;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
